# B36 step 1: Modland's tunes with no length from any source. Seed 1, 20 per directory (150 for NSF), index and databases as fetched 2026-09-23. Engine: openmpt:0.8.9+r25652.pkg;sc68:sc68 3.0.0b;asap:8.0.0;gme:0.6.5;sidplayfp:3.1.1;minimp3:ea99364;uade:none; ZXTune via native/probe/zxtune/build/probe-zxtune; SPC 300
format	decoder	files	sampled	refused	from_file	from_hvsc	from_songdb	no_length	est_files_without_length	commonest_file_length_s	times
MultiMedia Sound	openmpt	43	20	0	20	0	0	0	0	146	1
Pumatracker	openmpt	43	20	0	20	0	0	0	0	61	3
Asylum	openmpt	42	20	0	20	0	0	0	0	184	3
Dave Lowe New	uade	41	20	0	0	0	20	0	0	0	0
Picatune2	zxtune	39	20	20	0	0	0	0	all refused		
Spectrum/Global Tracker	zxtune	38	20	0	20	0	0	0	0	161	2
Farandole Composer	openmpt	37	20	0	20	0	0	0	0	184	2
Composer 670 (CDFM)	openmpt	36	20	0	20	0	0	0	0	81	2
Special FX ST	uade	36	20	0	0	0	20	0	0	0	0
Synthesis	uade	36	20	0	0	0	20	0	0	0	0
Mark II	uade	35	20	0	0	0	20	0	0	0	0
Sound Images	uade	33	20	0	0	0	19	1	2	0	0
Beathoven Synthesizer	uade	32	20	0	0	0	20	0	0	0	0
Special FX	uade	31	20	0	0	0	20	0	0	0	0
AProSys	uade	28	20	0	0	0	19	1	1	0	0
Activision Pro	uade	26	20	0	0	0	15	5	7	0	0
Velvet Studio	openmpt	25	20	0	20	0	0	0	0	249	1
Digital Sound Interface Kit RIFF	openmpt	24	20	0	20	0	0	0	0	173	3
TCB Tracker	openmpt	24	20	0	20	0	0	0	0	134	2
Wally Beben	uade	24	20	0	0	0	20	0	0	0	0
Hippel ST	uade	21	20	0	0	0	20	0	0	0	0
Sound Master II v3	uade	19	19	0	0	0	19	0	0	0	0
Soundtracker 2.6	openmpt	19	19	0	19	0	0	0	0	109	1
DSMI Compact	openmpt	13	13	0	13	0	0	0	0	46	2
TFMX ST	uade	13	13	0	0	0	13	0	0	0	0
CBA	openmpt	11	11	0	11	0	0	0	0	312	1
Protracker IFF	openmpt	11	11	0	11	0	0	0	0	645	1
Astroidea XMF	openmpt	9	9	0	9	0	0	0	0	145	1
Disorder Tracker 2	openmpt	9	9	0	9	0	0	0	0	34	1
Imago Orpheus	openmpt	9	9	0	9	0	0	0	0	201	2
Dynamic Studio Professional	openmpt	8	8	0	8	0	0	0	0	218	1
EasyTrax	openmpt	8	8	0	8	0	0	0	0	117	1
Digital Sound Interface Kit	openmpt	7	7	7	0	0	0	0	all refused		
Digital Tracker MOD	openmpt	6	6	0	6	0	0	0	0	223	1
Pollytracker	openmpt	5	5	5	0	0	0	0	all refused		
Beaver Sweeper	openmpt	4	4	4	0	0	0	0	all refused		
Quartet PSG	zxtune	4	4	2	1	0	1	0	0	36	1
Extreme Tracker	openmpt	3	3	0	3	0	0	0	0	149	1
IFF-SMUS	openmpt	3	3	3	0	0	0	0	all refused		
Real Tracker	openmpt	3	3	0	3	0	0	0	0	165	1
Soundtracker Pro II	zxtune	3	3	3	0	0	0	0	all refused		
Digitrekker	openmpt	2	2	2	0	0	0	0	all refused		
Unis 669	openmpt	2	2	0	2	0	0	0	0	318	1
Audio Sculpture	openmpt	1	1	0	1	0	0	0	0	84	1
BP SoundMon 1	uade	1	1	0	0	0	0	1	1	0	0
Digital Mugician 3	uade	1	1	0	0	0	0	1	1	0	0
FM sound driver (FMP)	openmpt	1	1	1	0	0	0	0	all refused		
OPLLDRV	openmpt	1	1	1	0	0	0	0	all refused		
Startrekker FLT8	openmpt	1	1	0	1	0	0	0	0	23	1
Ultra64 Sound Format	openmpt	1	1	1	0	0	0	0	all refused		
